x, y
0, 0.5
0.5, 0.75
1, 1.5
1.5, 2.75
2, 4.5
2.5, 6.75
3, 9.5
3.5, 12.75
4, 16.5
4.5, 20.75
5, 25.5
5.5, 30.75
6, 36.5
6.5, 42.75
7, 49.5
7.5, 56.75
8, 64.5
8.5, 72.75
9, 81.5
9.5, 90.75
10, 100.5
10.5, 110.75
11, 121.5
11.5, 132.75
12, 144.5
12.5, 156.75
13, 169.5
13.5, 182.75
14, 196.5
14.5, 210.75
15, 225.5
15.5, 240.75
16, 256.5
16.5, 272.75
17, 289.5
17.5, 306.75
18, 324.5
18.5, 342.75
19, 361.5
19.5, 380.75
20, 400.5
20.5, 420.75
21, 441.5
21.5, 462.75
22, 484.5
22.5, 506.75
23, 529.5
23.5, 552.75
24, 576.5
24.5, 600.75
25, 625.5
25.5, 650.75
26, 676.5
26.5, 702.75
27, 729.5
27.5, 756.75
28, 784.5
28.5, 812.75
29, 841.5
29.5, 870.75
30, 900.5
30.5, 930.75
31, 961.5
31.5, 992.75
32, 1024.5
32.5, 1056.75
33, 1089.5
33.5, 1122.75
34, 1156.5
34.5, 1190.75
35, 1225.5
35.5, 1260.75
36, 1296.5
36.5, 1332.75
37, 1369.5
37.5, 1406.75
38, 1444.5
38.5, 1482.75
39, 1521.5
39.5, 1560.75
40, 1600.5
40.5, 1640.75
41, 1681.5
41.5, 1722.75
42, 1764.5
42.5, 1806.75
43, 1849.5
43.5, 1892.75
44, 1936.5
44.5, 1980.75
45, 2025.5
45.5, 2070.75
46, 2116.5
46.5, 2162.75
47, 2209.5
47.5, 2256.75
48, 2304.5
48.5, 2352.75
49, 2401.5
49.5, 2450.75
50, 2500.5
50.5, 2550.75
51, 2601.5
51.5, 2652.75
52, 2704.5
52.5, 2756.75
53, 2809.5
53.5, 2862.75
54, 2916.5
54.5, 2970.75
55, 3025.5
55.5, 3080.75
56, 3136.5
56.5, 3192.75
57, 3249.5
57.5, 3306.75
58, 3364.5
58.5, 3422.75
59, 3481.5
59.5, 3540.75
60, 3600.5
60.5, 3660.75
61, 3721.5
61.5, 3782.75
62, 3844.5
62.5, 3906.75
63, 3969.5
63.5, 4032.75
64, 4096.5
64.5, 4160.75
65, 4225.5
65.5, 4290.75
66, 4356.5
66.5, 4422.75
67, 4489.5
67.5, 4556.75
68, 4624.5
68.5, 4692.75
69, 4761.5
69.5, 4830.75
70, 4900.5
70.5, 4970.75
71, 5041.5
71.5, 5112.75
72, 5184.5
72.5, 5256.75
73, 5329.5
73.5, 5402.75
74, 5476.5
74.5, 5550.75
75, 5625.5
75.5, 5700.75
76, 5776.5
76.5, 5852.75
77, 5929.5
77.5, 6006.75
78, 6084.5
78.5, 6162.75
79, 6241.5
79.5, 6320.75
80, 6400.5
80.5, 6480.75
81, 6561.5
81.5, 6642.75
82, 6724.5
82.5, 6806.75
83, 6889.5
83.5, 6972.75
84, 7056.5
84.5, 7140.75
85, 7225.5
85.5, 7310.75
86, 7396.5
86.5, 7482.75
87, 7569.5
87.5, 7656.75
88, 7744.5
88.5, 7832.75
89, 7921.5
89.5, 8010.75
90, 8100.5
90.5, 8190.75
91, 8281.5
91.5, 8372.75
92, 8464.5
92.5, 8556.75
93, 8649.5
93.5, 8742.75
94, 8836.5
94.5, 8930.75
95, 9025.5
95.5, 9120.75
96, 9216.5
96.5, 9312.75
97, 9409.5
97.5, 9506.75
98, 9604.5
98.5, 9702.75
99, 9801.5
99.5, 9900.75
